Time,Centre posn X,Centre posn Y,In top,In left,In right,In center
0:01:17.05,404,164,0,1,0,0
0:01:17.15,394,170,0,1,0,0
0:01:17.27,384,171,0,1,0,0
0:01:17.37,375,176,0,1,0,0
0:01:17.50,361,183,0,1,0,0
0:01:17.64,337,194,0,0,0,0
0:01:17.78,331,196,0,0,0,0
0:01:17.92,331,196,0,0,0,0
0:01:18.05,331,196,0,0,0,0
0:01:18.15,331,196,0,0,0,0
0:01:18.28,331,196,0,0,0,0
0:01:18.43,325,195,0,0,0,1
0:01:18.56,322,196,0,0,0,1
0:01:18.71,324,195,0,0,0,1
0:01:18.84,321,194,0,0,0,1
0:01:18.97,316,192,0,0,0,1
0:01:19.10,307,192,0,0,1,0
0:01:19.24,308,192,0,0,1,0
0:01:19.38,308,194,0,0,1,0
0:01:19.51,309,196,0,0,1,0
0:01:19.63,310,197,0,0,1,0
0:01:19.76,310,197,0,0,1,0
0:01:19.90,312,198,0,0,0,1
0:01:20.04,312,197,0,0,0,1
0:01:20.16,312,197,0,0,0,1
0:01:20.30,312,197,0,0,0,1
0:01:20.43,311,198,0,0,0,1
0:01:20.55,311,199,0,0,0,1
0:01:20.69,310,199,0,0,1,0
0:01:20.82,311,199,0,0,0,1
0:01:20.95,311,198,0,0,0,1
0:01:21.08,311,197,0,0,1,0
0:01:21.22,309,195,0,0,1,0
0:01:21.35,308,194,0,0,1,0
0:01:21.50,306,193,0,0,1,0
0:01:21.64,296,189,0,0,1,0
0:01:21.78,297,188,0,0,1,0
0:01:21.91,302,190,0,0,1,0
0:01:22.05,304,191,0,0,1,0
0:01:22.19,307,193,0,0,1,0
0:01:22.32,314,195,0,0,0,1
0:01:22.44,316,196,0,0,0,1
0:01:22.57,316,198,0,0,0,1
0:01:22.71,312,206,0,0,0,1
0:01:22.84,311,217,0,0,0,0
0:01:22.98,312,231,1,0,0,0
0:01:23.11,310,256,1,0,0,0
0:01:23.25,308,272,1,0,0,0
0:01:23.39,306,287,1,0,0,0
0:01:23.54,304,306,1,0,0,0
0:01:23.68,303,311,1,0,0,0
0:01:23.78,304,315,1,0,0,0
0:01:23.92,300,338,1,0,0,0
0:01:24.06,300,344,1,0,0,0
0:01:24.19,299,348,1,0,0,0
0:01:24.33,298,354,1,0,0,0
0:01:24.46,298,360,1,0,0,0
0:01:24.60,298,365,1,0,0,0
0:01:24.76,294,384,1,0,0,0
0:01:24.86,295,389,1,0,0,0
0:01:25.00,295,387,1,0,0,0
0:01:25.10,295,383,1,0,0,0
0:01:25.24,298,379,1,0,0,0
0:01:25.38,298,380,1,0,0,0
0:01:25.52,299,380,1,0,0,0
0:01:25.66,299,379,1,0,0,0
0:01:25.80,299,379,1,0,0,0
0:01:25.94,299,377,1,0,0,0
0:01:26.08,299,376,1,0,0,0
0:01:26.22,295,374,1,0,0,0
0:01:26.35,292,374,1,0,0,0
0:01:26.48,293,375,1,0,0,0
0:01:26.62,294,377,1,0,0,0
0:01:26.75,293,381,1,0,0,0
0:01:26.88,292,390,1,0,0,0
0:01:27.03,290,408,1,0,0,0
0:01:27.15,289,409,1,0,0,0
0:01:27.29,290,402,1,0,0,0
0:01:27.44,292,395,1,0,0,0
0:01:27.58,292,396,1,0,0,0
0:01:27.69,291,399,1,0,0,0
0:01:27.82,291,405,1,0,0,0
0:01:27.94,291,407,1,0,0,0
0:01:28.06,292,405,1,0,0,0
0:01:28.19,293,403,1,0,0,0
0:01:28.33,292,398,1,0,0,0
0:01:28.46,292,394,1,0,0,0
0:01:28.60,292,392,1,0,0,0
0:01:28.73,292,391,1,0,0,0
0:01:28.87,292,390,1,0,0,0
0:01:29.01,293,389,1,0,0,0
0:01:29.14,294,385,1,0,0,0
0:01:29.27,295,379,1,0,0,0
0:01:29.41,295,379,1,0,0,0
0:01:29.55,295,380,1,0,0,0
0:01:29.68,295,377,1,0,0,0
0:01:29.82,296,369,1,0,0,0
0:01:29.96,298,362,1,0,0,0
0:01:30.10,296,364,1,0,0,0
0:01:30.23,296,360,1,0,0,0
0:01:30.36,298,349,1,0,0,0
0:01:30.50,301,330,1,0,0,0
0:01:30.62,301,319,1,0,0,0
0:01:30.75,304,308,1,0,0,0
0:01:30.90,305,287,1,0,0,0
0:01:31.03,306,276,1,0,0,0
0:01:31.15,307,268,1,0,0,0
0:01:31.29,307,258,1,0,0,0
0:01:31.42,311,234,1,0,0,0
0:01:31.56,312,226,1,0,0,0
0:01:31.69,312,223,1,0,0,0
0:01:31.83,310,212,0,0,0,0
0:01:31.93,309,210,0,0,0,1
0:01:32.07,308,208,0,0,0,1
0:01:32.20,305,199,0,0,1,0
0:01:32.33,299,193,0,0,1,0
0:01:32.47,296,190,0,0,1,0
0:01:32.61,296,190,0,0,1,0
0:01:32.75,293,188,0,0,1,0
0:01:32.91,283,179,0,0,1,0
0:01:33.04,283,179,0,0,1,0
0:01:33.17,287,181,0,0,1,0
0:01:33.32,291,184,0,0,1,0
0:01:33.44,293,184,0,0,1,0
